,gdasCont,kor,kor_num,keyword,gdasScrVal,mbrNo,goodsNm
7234,발색력이 강할줄 알았는데     상각보다 오래 가지읂네여 하지만 색은 이뻐요   ,발색력이 강할줄 알았는데     상각보다 오래 가지읂네여 하지만 색은 이뻐요   ,2.0,가지읂 상각,10.0,M0000012167645,C04
7235,매트하고 착색이 너무 잘되는 틴트   벌써 두 통째예요   색도 너무 찰떡같이 좋고 각질도 잘 안 일어납니다 ,매트하고 착색이 너무 잘되는 틴트   벌써 두 통째예요   색도 너무 찰떡같이 좋고 각질도 잘 안 일어납니다 ,5.0,찰떡 착색 틴트 각질 매트,10.0,M0000013054896,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7236,색상도 예쁘고 시간 지나고 색변함도 없는거같아요  재구매의사 있습니다,색상도 예쁘고 시간 지나고 색변함도 없는거같아요  재구매의사 있습니다,4.0,구매 의사 색상 시간,10.0,M0000018761701,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7237,코랄이라기엔 오렌지빛이 많이 나요 픽싱틴트라서 지속력은 좋았고 입술 무는 버릇이 있는 편인데도 오래갔어요,코랄이라기엔 오렌지빛이 많이 나요 픽싱틴트라서 지속력은 좋았고 입술 무는 버릇이 있는 편인데도 오래갔어요,7.0,오렌지 입술 코랄 픽싱 틴트 버릇 지속,8.0,M0000010390821,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7238,진짜 찾던 색 찾아서 너무 좋아요 이런 색 찾고 있었는데 기쁨미당  ,진짜 찾던 색 찾아서 너무 좋아요 이런 색 찾고 있었는데 기쁨미당  ,1.0,기쁨,10.0,M0000020523979,"C13"""
7239,생각보다 픽싱 능력이 낮다ㅏ   입술에서 잘 지워져요   ㅠ 요플레 현상 나는 베이스립 궁합도 있구,생각보다 픽싱 능력이 낮다ㅏ   입술에서 잘 지워져요   ㅠ 요플레 현상 나는 베이스립 궁합도 있구,8.0,생각 입술 능력 궁합 베이스 요플레 픽싱 현상,8.0,M0000017245176,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7240,좋아요 지속력좋고 색선명히 발색되고 좋아요 좋어 로즈블렌딩 ㅊ,좋아요 지속력좋고 색선명히 발색되고 좋아요 좋어 로즈블렌딩 ㅊ,2.0,속력 로즈블렌딩,8.0,M0000002485763,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7241,수분감때문에 바르면 약간 젤리틴트 느낌도 나고 예뻐용  립에 과하게 힘 주고 싶진 않은데 은은하게 분위기 살릴때 좋음,수분감때문에 바르면 약간 젤리틴트 느낌도 나고 예뻐용  립에 과하게 힘 주고 싶진 않은데 은은하게 분위기 살릴때 좋음,5.0,수분 젤리 틴트 느낌 분위기,10.0,M0000012594956,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7242,저는 웜톤 이에요 ㅋ 코랄 색갈이 잘 어울리는데 멜로우피치 색깔 짱 이쁨 ㅋ 제 동생도 발라보고 이쁘다며 하나 샀어요 ㅋ 중간에 잃어 버려서 3번씩 이나 재구매한 제품 색감도 괜찮고 듬뿍 바르거나 자주 발라도 부담스럽지 않아서 좋아요   다들 많이 구매 해보세요 ㅋㅋ ,저는 웜톤 이에요 ㅋ 코랄 색갈이 잘 어울리는데 멜로우피치 색깔 짱 이쁨 ㅋ 제 동생도 발라보고 이쁘다며 하나 샀어요 ㅋ 중간에 잃어 버려서 3번씩 이나 재구매한 제품 색감도 괜찮고 듬뿍 바르거나 자주 발라도 부담스럽지 않아서 좋아요   다들 많이 구매 해보세요 ㅋㅋ ,10.0,색감 구매 색깔 제품 갈이 멜로우피 부담 코랄 중간 동생,10.0,M0000002134865,"C09"""
7243,믿고사는 에뛰드  신상 색이 나와서 구매했습니다  마음에 드네요,믿고사는 에뛰드  신상 색이 나와서 구매했습니다  마음에 드네요,4.0,구매 에뛰드 마음 신상,10.0,M0000003393475,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7244,예상했던 색은 아니었지만 그럭저럭 괜찮아요 근데 틴트치고 잘 지워지는 거 같아요,예상했던 색은 아니었지만 그럭저럭 괜찮아요 근데 틴트치고 잘 지워지는 거 같아요,2.0,틴트 예상,8.0,M0000000274831,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7245,올리브영 한정판 컬러고 겨쿨분들은 꼭 품으시길   저는 포인트로 안쪽에만 써주는데 지속력 진짜 좋고 입술 편안  ,올리브영 한정판 컬러고 겨쿨분들은 꼭 품으시길   저는 포인트로 안쪽에만 써주는데 지속력 진짜 좋고 입술 편안  ,9.0,컬러 입술 안쪽 편안 올리브 포인트 겨쿨 지속 한정판,10.0,M0000011998776,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7246,틴트는 착색이져ㅋㅋ 꿀립이에용ㅎ 지속력은 저금 아쉽입니더,틴트는 착색이져ㅋㅋ 꿀립이에용ㅎ 지속력은 저금 아쉽입니더,5.0,꿀립이에용 틴트 착색 저금 지속,8.0,M0000003385240,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7247,여뮽이지만 2순위가 겨울딥이라 구매해봤는데 역시나 너무 무거운 감이 있는 거 같아요  그래도 연하게 잘 바르면 바를만 해요,여뮽이지만 2순위가 겨울딥이라 구매해봤는데 역시나 너무 무거운 감이 있는 거 같아요  그래도 연하게 잘 바르면 바를만 해요,4.0,겨울 구매 여뮽 순위,8.0,M0000012601071,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7248,한달정도 써봤는데 굉장히 좋은 것 같아요  꾸준히 사용해야 효과가 있을 것 같지만 만족도 높습니당  ,한달정도 써봤는데 굉장히 좋은 것 같아요  꾸준히 사용해야 효과가 있을 것 같지만 만족도 높습니당  ,4.0,사용 만족도 효과 정도,10.0,M0000016108558,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7249,지속력은 살짝 아쉬운데 봄웜분들은 꼭 구매하셔야할 색상입니다  발색은 완변해요 ,지속력은 살짝 아쉬운데 봄웜분들은 꼭 구매하셔야할 색상입니다  발색은 완변해요 ,3.0,색상 구매 지속,10.0,M0000020290555,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7250,워후   데일리로 사용하기 좋네요  바를때는 촉촉하다가 딱 고정되는 게 대박임  봄웜 특히 추천합니다  ,워후   데일리로 사용하기 좋네요  바를때는 촉촉하다가 딱 고정되는 게 대박임  봄웜 특히 추천합니다  ,5.0,추천 고정 워후 데일리 사용,10.0,M0000020422280,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7251,색상도 지속력도 제형도 너무너무 마음에 들어요 다쓰면 재구매할거같아요,색상도 지속력도 제형도 너무너무 마음에 들어요 다쓰면 재구매할거같아요,5.0,구매 제형 마음 색상 지속,10.0,M0000011822324,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7252,색상도 발림도 지속력도 너무 많음에 들고 마스크에 잘 안 뭍어나요,색상도 발림도 지속력도 너무 많음에 들고 마스크에 잘 안 뭍어나요,4.0,마스크 색상 발림 지속,10.0,M0000011218163,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7253,좋아요 ㅇ 좋앟욯 죻아여 죠아용용 조ㅇㅏ염 좋하여      ,좋아요 ㅇ 좋앟욯 죻아여 죠아용용 조ㅇㅏ염 좋하여      ,4.0,죻아여 죠아 용용 좋앟욯,10.0,M0000018099532,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7254,픽싱틴트 산 이유로 계속 이것만 쓰게 돼요 지속력 너무 미쳤음 좋아요,픽싱틴트 산 이유로 계속 이것만 쓰게 돼요 지속력 너무 미쳤음 좋아요,4.0,픽싱 틴트 지속 이유,10.0,M0000003457286,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7255,에뛰드 립 너무 좋아요 ㅋㅋ 백화점 브랜드 보다 손이 더 잘가요,에뛰드 립 너무 좋아요 ㅋㅋ 백화점 브랜드 보다 손이 더 잘가요,3.0,에뛰드 브랜드 백화점,10.0,M0000002949386,"C11"""
7256,사계절 이용가능한 립입니다ㅎㅎ 발색도 지속력도 좋아요  ,사계절 이용가능한 립입니다ㅎㅎ 발색도 지속력도 좋아요  ,4.0,이용 가능 지속 사계절,8.0,M0000014561098,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7257,구경하다 색상이 예뻐서 샀는데 색상도 예쁘고 발림도 괜찮아요 ㅋㅋ,구경하다 색상이 예뻐서 샀는데 색상도 예쁘고 발림도 괜찮아요 ㅋㅋ,3.0,색상 발림 구경,10.0,M0000000993158,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7258,색감은 정말 마음에 들지만 많이 건조해서 평소에 각질이 많이 생겨요,색감은 정말 마음에 들지만 많이 건조해서 평소에 각질이 많이 생겨요,5.0,건조 평소 각질 색감 마음,8.0,M0000003471004,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7259,색상선택을 잘못해서 저랑은 좀알어울린건빼고는발림성이좋인ㅇ ㄷ,색상선택을 잘못해서 저랑은 좀알어울린건빼고는발림성이좋인ㅇ ㄷ,3.0,발림 색상 선택,10.0,M0000021636964,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7260,이 제품을 살까 말까 고민을 했는데 제 퍼컬이랑 맞기도 했고 이 제품은 쌩얼에 발라도 너무 좋다고 해서 휘뚜루마뚜루 구매를 했습니다  진짜 데일리템으로 너무 좋고 에뛰드 틴트는 오랜만에 쓰는데 만족감 최고입니다    가격도 저렴한데 올영세일 때 구매하면 더 좋은 것 같아요   재구매는 100 입니다 ,이 제품을 살까 말까 고민을 했는데 제 퍼컬이랑 맞기도 했고 이 제품은 쌩얼에 발라도 너무 좋다고 해서 휘뚜루마뚜루 구매를 했습니다  진짜 데일리템으로 너무 좋고 에뛰드 틴트는 오랜만에 쓰는데 만족감 최고입니다    가격도 저렴한데 올영세일 때 구매하면 더 좋은 것 같아요   재구매는 100 입니다 ,13.0,가격 구매 제품 최고 틴트 만족감 휘뚜루마뚜루 고민 데일리 오랜만 에뛰드 영세 퍼컬,10.0,M0000016048002,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7261,매트해서 마스크에 묻거나하지는 않지만 갈라지거나 건조할수있어요,매트해서 마스크에 묻거나하지는 않지만 갈라지거나 건조할수있어요,3.0,건조 마스크 매트,10.0,M0000010604854,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7262,최근 한 5년간 산 틴트중에 가장 맘에들어요  픽싱력 좋아서 마스크에 안묻고 색상도 봄웜인 저한테 딱이였습니다  산지 한달정도밖에 안되었는데 맨날써서 조만간 또 살거같네요  마스크에 안묻고 지속력 좋은 틴트 찾으시면 강추합니다  무조건 이거에요 ,최근 한 5년간 산 틴트중에 가장 맘에들어요  픽싱력 좋아서 마스크에 안묻고 색상도 봄웜인 저한테 딱이였습니다  산지 한달정도밖에 안되었는데 맨날써서 조만간 또 살거같네요  마스크에 안묻고 지속력 좋은 틴트 찾으시면 강추합니다  무조건 이거에요 ,9.0,마스크 정도 픽싱력 색상 틴트 강추 조건 산지 지속,10.0,M0000000953724,"C09"""
7263,에뛰드가 립 제품을 정말 잘 만드는거같아요  발색도 넘넘 좋고  컬러가 좋았어서 다른 컬로도 구매했는데 좋았습니다 ,에뛰드가 립 제품을 정말 잘 만드는거같아요  발색도 넘넘 좋고  컬러가 좋았어서 다른 컬로도 구매했는데 좋았습니다 ,4.0,컬러 구매 제품 에뛰드,10.0,M0000010052685,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7264,엄청 촉촉하고 색감도 엄청 예쁜데 가장 놀라운 건 지속력이에요 음식을 먹어도 이렇게까지 발색이 유지가 잘 되는 틴트는 처음이었어요  꼭 사용해보세요 ,엄청 촉촉하고 색감도 엄청 예쁜데 가장 놀라운 건 지속력이에요 음식을 먹어도 이렇게까지 발색이 유지가 잘 되는 틴트는 처음이었어요  꼭 사용해보세요 ,7.0,색감 틴트 지속 음식 처음 사용 유지,10.0,M0000017972462,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7265,이 색상은 처음 써보는데 웜톤인 저에게는 살짝 안맞긴해요 그치만 제품 자체는 너무 좋습니다 주름 부각도 없고 픽싱되면 착 달라 붙어서 좋아요,이 색상은 처음 써보는데 웜톤인 저에게는 살짝 안맞긴해요 그치만 제품 자체는 너무 좋습니다 주름 부각도 없고 픽싱되면 착 달라 붙어서 좋아요,7.0,색상 픽싱 제품 주름 부각 자체 처음,8.0,M0000014773700,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7266,에뛰드 틴트 좋네요   발림성 좋고 색도 이쁘고   지속력은 크게 좋은것같진 않아요   그래도 만족합니다 ,에뛰드 틴트 좋네요   발림성 좋고 색도 이쁘고   지속력은 크게 좋은것같진 않아요   그래도 만족합니다 ,5.0,만족 지속 에뛰드 발림 틴트,10.0,M0000016781443,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7267,너무 예뻐요   이색도 저색도 안 어울리시는 분 이거 한번 사보세요  ,너무 예뻐요   이색도 저색도 안 어울리시는 분 이거 한번 사보세요  ,0.0,,10.0,M0000004348589,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7268,틴트 유목민 생활 끝  텐트 정착합니다 사실 하나 사고 얼마 안되어서 잃어버렸는데 그냥 다시 또 샀어요 너무 예뻐서  ,틴트 유목민 생활 끝  텐트 정착합니다 사실 하나 사고 얼마 안되어서 잃어버렸는데 그냥 다시 또 샀어요 너무 예뻐서  ,6.0,정착 텐트 틴트 유목민 얼마 생활,10.0,M0000004348589,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7269,가볍게 사용하기 좋아요  가격도 저렴하고요  재구매는 안할듯해용,가볍게 사용하기 좋아요  가격도 저렴하고요  재구매는 안할듯해용,3.0,구매 가격 사용,10.0,M0000017029529,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7270,친구 선물해 주었는데 완전 만족스러워 하고 색도 예쁜 것 같아요,친구 선물해 주었는데 완전 만족스러워 하고 색도 예쁜 것 같아요,3.0,만족 선물 친구,10.0,M0000016916391,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7271,매트해요 냄새는 살짝 이상해요ㅠ 그래도 색은 이쁘고 부드럽게 잘발려요 ,매트해요 냄새는 살짝 이상해요ㅠ 그래도 색은 이쁘고 부드럽게 잘발려요 ,3.0,이상 매트 냄새,8.0,M0000004096553,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7272,지속력은 좋은데 생각했던 발색은 아니었어요  흰색이 조금 많이 섞인 느낌의 컬러입미다,지속력은 좋은데 생각했던 발색은 아니었어요  흰색이 조금 많이 섞인 느낌의 컬러입미다,5.0,컬러 흰색 느낌 생각 지속,10.0,M0000004286803,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7273,너무 좋아요 늘 구매하는 제품입니다  앞으로도 계속 주문 할 거 같아요  ,너무 좋아요 늘 구매하는 제품입니다  앞으로도 계속 주문 할 거 같아요  ,3.0,구매 제품 주문,10.0,M0000010064713,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7274,유투브에서 보고 구매해봤어요 원래 매트립을 좋아하는데 이 제품은 스머지도 잘되고 가을웜톤한테 찰떡인 제품이에요 지속력도 나름 괜찮아서 항상 웜톤 메이크업 할 때 베이스립으로 깔아주고 시작해요 립 프라이머랑 같이 쓰면 주름끼임도 적어서 좋아요  ,유투브에서 보고 구매해봤어요 원래 매트립을 좋아하는데 이 제품은 스머지도 잘되고 가을웜톤한테 찰떡인 제품이에요 지속력도 나름 괜찮아서 항상 웜톤 메이크업 할 때 베이스립으로 깔아주고 시작해요 립 프라이머랑 같이 쓰면 주름끼임도 적어서 좋아요  ,13.0,찰떡 가을 제품 주름 스머지 메이크업 구매 프라이머 베이스 매트 시작 유투브 지속,10.0,M0000002950748,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7275,색도 이쁘고 진짜로 정말로 최고로 마음에 들었어요     ,색도 이쁘고 진짜로 정말로 최고로 마음에 들었어요     ,2.0,최고 마음,10.0,M0000016458210,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7276,색상미스로 아쉬웠으나 색상이 다양해서 롱런할 느낌적 느낌이에요,색상미스로 아쉬웠으나 색상이 다양해서 롱런할 느낌적 느낌이에요,3.0,색상 미스 느낌,10.0,M0000010567470,"C08"""
7277,초반엔 좋은거 같았는데 별로   색도 너무 핑크로 올라와서 다른거랑 같이 섞어서 포인트 주듯 발라주고 있고 제일 최악은 내용물이 올라와서 입구에 한가득  더러워짐 가지고 다니다 흘릴거같아서 함부로 못가지고 다니겠음,초반엔 좋은거 같았는데 별로   색도 너무 핑크로 올라와서 다른거랑 같이 섞어서 포인트 주듯 발라주고 있고 제일 최악은 내용물이 올라와서 입구에 한가득  더러워짐 가지고 다니다 흘릴거같아서 함부로 못가지고 다니겠음,6.0,최악 핑크 초반 입구 내용물 포인트,6.0,M0000012046863,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7278,친구랑 같이 샀는데 저도 이 색 살걸 그랬어요   이 색은 여뮽인 저한테 덜 부담스럽더라고요 생얼에 바르기 좋아요,친구랑 같이 샀는데 저도 이 색 살걸 그랬어요   이 색은 여뮽인 저한테 덜 부담스럽더라고요 생얼에 바르기 좋아요,3.0,부담 친구 여뮽,8.0,M0000012046863,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7279,지속적으로 사용하는데 좋아요 선물용으로도 좋고 재구매 의사 있어요,지속적으로 사용하는데 좋아요 선물용으로도 좋고 재구매 의사 있어요,5.0,선물 지속 사용 의사 구매,10.0,M0000013034044,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7280,딸이랑 매장 구경하러 들어갔다가 사달라고 하네요 요즘 이것만 쓰네요 발색 괜찮은거 같아요,딸이랑 매장 구경하러 들어갔다가 사달라고 하네요 요즘 이것만 쓰네요 발색 괜찮은거 같아요,3.0,구경 요즘 매장,10.0,M0000000942045,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7281,입술에 착 달라붙어서 번지거나 뭍어남이 없어서 좋았어요 ,입술에 착 달라붙어서 번지거나 뭍어남이 없어서 좋았어요 ,1.0,입술,10.0,M0000012645526,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7282,너무 찐하게 발색되서 바를 때 입술 안쪽에만 살짝 바르고 뭉툭한 브러쉬로 스머징해주니까 그나마 좀 나아요ㅎㅎ,너무 찐하게 발색되서 바를 때 입술 안쪽에만 살짝 바르고 뭉툭한 브러쉬로 스머징해주니까 그나마 좀 나아요ㅎㅎ,4.0,스머징 브러쉬 안쪽 입술,8.0,M0000000443720,C02
7283,어  쿨톤인데  너무 보라보라해서   제가 평소 입는 옷이랑 매치하자니 여전히 너무 어렵네요 ,어  쿨톤인데  너무 보라보라해서   제가 평소 입는 옷이랑 매치하자니 여전히 너무 어렵네요 ,2.0,매치 평소,8.0,M0000000443720,C02
7284,첨엔 촉촉했다가 몇초뒤에 픽싱되는데 좋아요 ㅎㅎ ㅋㅋ  ,첨엔 촉촉했다가 몇초뒤에 픽싱되는데 좋아요 ㅎㅎ ㅋㅋ  ,1.0,픽싱,10.0,M0000010937624,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7285,여쿨라 찰떡이에요 지속도 정말 오래되고 색이 많이 밝을줄알았는데 갠적으론 쌩얼에 발라도 부담은 없었어요 잘산거같아요,여쿨라 찰떡이에요 지속도 정말 오래되고 색이 많이 밝을줄알았는데 갠적으론 쌩얼에 발라도 부담은 없었어요 잘산거같아요,4.0,찰떡 여쿨라 지속 부담,10.0,M0000019365669,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7286,무난무난해요 ㅋㅋ 각질부각잇고 향이 느끼해서 호불호 갈릴거같아요ㅠㅠ,무난무난해요 ㅋㅋ 각질부각잇고 향이 느끼해서 호불호 갈릴거같아요ㅠㅠ,3.0,각질 부각 호불호,6.0,M0000014888145,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7287,유튜브보고 구매했는데 생각했던것보다 더 마음에 들어요  요즘 이것만 써요   ,유튜브보고 구매했는데 생각했던것보다 더 마음에 들어요  요즘 이것만 써요   ,5.0,구매 요즘 유튜브 마음 생각,10.0,M0000012427780,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7288,똑같은 틴트 또 사는건 진짜 픽싱틴트가 처음이에요   베이스로 바르기 너무 좋아요 바를 때 매트하지도 않아서 진짜 좋아요 다음번엔 다른 색깔로 사려구요,똑같은 틴트 또 사는건 진짜 픽싱틴트가 처음이에요   베이스로 바르기 너무 좋아요 바를 때 매트하지도 않아서 진짜 좋아요 다음번엔 다른 색깔로 사려구요,7.0,색깔 픽싱 틴트 처음 매트 베이스 다음,10.0,M0000017870965,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7289,지속력도 좋고 색상도 새로나온거 너무 마음에 들어요  저는 쿨톤이라 이 색에 정착합니다 다 쓰면 앞으로 이제품만 살거 같아요ㅠ묻어나오는것도 싫은데 그것도 좋고 너무 갈라질만큼 매트하지도 않고 색도 이뻐요 ,지속력도 좋고 색상도 새로나온거 너무 마음에 들어요  저는 쿨톤이라 이 색에 정착합니다 다 쓰면 앞으로 이제품만 살거 같아요ㅠ묻어나오는것도 싫은데 그것도 좋고 너무 갈라질만큼 매트하지도 않고 색도 이뻐요 ,6.0,색상 제품 정착 매트 마음 지속,10.0,M0000011675129,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7290,지속력도 좋고 색상도 새로나온거 너무 마음에 들어요  저는 쿨톤이라 이 색에 정착합니다 다 쓰면 앞으로 이제품만 살거 같아요ㅠ묻어나오는것도 싫은데 그것도 좋고 너무 갈라질만큼 매트하지도 않고 색도 이뻐요 ,지속력도 좋고 색상도 새로나온거 너무 마음에 들어요  저는 쿨톤이라 이 색에 정착합니다 다 쓰면 앞으로 이제품만 살거 같아요ㅠ묻어나오는것도 싫은데 그것도 좋고 너무 갈라질만큼 매트하지도 않고 색도 이뻐요 ,6.0,색상 제품 정착 매트 마음 지속,10.0,M0000011675129,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7291,묻어나지 않아서 좋아요  요즘은 묻어나는게 싫더라구요ㅠㅠ 막 엄청 갈라질 정도로 매트한것도 아니고 쿨톤인데 색깔도 너무 마음에 들어요 재구매 무족권  합니다 단종시키지말아주세요      ,묻어나지 않아서 좋아요  요즘은 묻어나는게 싫더라구요ㅠㅠ 막 엄청 갈라질 정도로 매트한것도 아니고 쿨톤인데 색깔도 너무 마음에 들어요 재구매 무족권  합니다 단종시키지말아주세요      ,7.0,단종 요즘 매트 정도 색깔 마음 구매,10.0,M0000011675129,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7292,아직 미사용인데 기존 색 말고 다른색으로 사봤어요  좋을듯 합니다 ,아직 미사용인데 기존 색 말고 다른색으로 사봤어요  좋을듯 합니다 ,2.0,사용 기존,10.0,M0000003791359,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7293,발림성이 너무 좋아요 글고 색이 짱이쁨 매일매일 쓸 거 같아요,발림성이 너무 좋아요 글고 색이 짱이쁨 매일매일 쓸 거 같아요,1.0,발림,10.0,M0000020341136,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7294,제 퍼컬이 겨울쿨톤인데 진짜 찰떡이에요 피부톤에도 잘 맞고 매트해서 그런지 잘 안 지워지고 발림성도 좋아요  ,제 퍼컬이 겨울쿨톤인데 진짜 찰떡이에요 피부톤에도 잘 맞고 매트해서 그런지 잘 안 지워지고 발림성도 좋아요  ,6.0,피부 겨울 찰떡 발림 매트 퍼컬,10.0,M0000017495375,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7295,색상이 너무너무 이뻐용 웜톤한테 딱 어울리는 색상이에용   ,색상이 너무너무 이뻐용 웜톤한테 딱 어울리는 색상이에용   ,1.0,색상,10.0,M0000010909473,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7296,너무 예쁘고 아까는 색인데  잃어버려써요  어디 갔을까요 내살앙 ,너무 예쁘고 아까는 색인데  잃어버려써요  어디 갔을까요 내살앙 ,1.0,어디,10.0,M0000010309325,C05
7297,재구매입니다 마음에 드네요ㅎㅎ 아주 잘 발리고 잘 지워지지 않아요,재구매입니다 마음에 드네요ㅎㅎ 아주 잘 발리고 잘 지워지지 않아요,2.0,구매 마음,10.0,M0000004243741,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7298,지속이 확실히 오래 되는 것 같아요 다른 틴트에 비해서 저는 개인적으로 그렇게 느꼈습니다,지속이 확실히 오래 되는 것 같아요 다른 틴트에 비해서 저는 개인적으로 그렇게 느꼈습니다,3.0,개인 틴트 지속,10.0,M0000004731826,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7299,바르면 입술에 착 스며들듯이 고정되는게 지속력 오래가는 느낌이고 색도 이쁘고 잘 발려서 맘에 들어요,바르면 입술에 착 스며들듯이 고정되는게 지속력 오래가는 느낌이고 색도 이쁘고 잘 발려서 맘에 들어요,4.0,고정 입술 느낌 지속,10.0,M0000004731355,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7300,색상자연스럽게예쁘네요  생각보다발색이잘되어서좋아요,색상자연스럽게예쁘네요  생각보다발색이잘되어서좋아요,3.0,생각 색상 자연,8.0,M0000000906880,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7301,픽싱티트 좋아요 자주 쓰는 중이에요 ㅋㅋ 색도 저한테 잘 맞아요,픽싱티트 좋아요 자주 쓰는 중이에요 ㅋㅋ 색도 저한테 잘 맞아요,1.0,픽싱티트,10.0,M0000012192479,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7302,음 생각한 것보다 좋지는 않아요ㅠ 지속력   글쎄요 근데 색깔은 예뻥ㅎ,음 생각한 것보다 좋지는 않아요ㅠ 지속력   글쎄요 근데 색깔은 예뻥ㅎ,4.0,글쎄 생각 색깔 지속,8.0,M0000012966057,C08
7303,잘 지워지지 않는 것 찾다가 이거 구매한건데 잘 쓰고 있기는 해요 ,잘 지워지지 않는 것 찾다가 이거 구매한건데 잘 쓰고 있기는 해요 ,1.0,구매,10.0,M0000004162476,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7304,색감이 은근히 괜찮게 나오는거 같아서 만족합니다 지속력은 보통,색감이 은근히 괜찮게 나오는거 같아서 만족합니다 지속력은 보통,3.0,색감 만족 지속,10.0,M0000016718709,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
7305,여쿨뮤트인데 이거 맘에 들어요   겨쿨분들도 예쁘게 쓸 것 같고 무엇보다 픽싱되는 게 진짜 미쳤네여,여쿨뮤트인데 이거 맘에 들어요   겨쿨분들도 예쁘게 쓸 것 같고 무엇보다 픽싱되는 게 진짜 미쳤네여,3.0,픽싱 여쿨뮤트 겨쿨,10.0,M0000012012152,[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)
